Node 1,Node 2,L2 Distance,Shortest Path
0,1,0.10050778190846914,1
2,5,0.08809816983956159,1
3,4,0.10583964168881761,1
3,5,0.0683455728121288,1
4,5,0.10792065288406154,1
6,7,0.09684380341328011,1
6,8,0.09065315879161409,1
6,9,0.10088143945330139,1
6,11,0.0889954470740823,1
2,4,0.07064049943227134,1
6,13,0.08920491697339852,1
7,9,0.12149564918906092,1
7,10,0.06914755748998537,1
7,11,0.09663521147535606,1
8,9,0.10229550294696005,1
8,11,0.09278796375254467,1
9,10,0.13534123281740928,1
9,11,0.09083877863941224,1
10,11,0.09845200217593106,1
7,8,0.0724654215306313,1
2,3,0.09947529874749396,1
12,13,0.08307783274114958,1
1,4,0.10022687489632477,1
1,2,0.08910870424705698,1
0,5,0.10897098147099998,1
0,12,0.10193208745742638,1
0,2,0.06361708817133252,1
0,3,0.11075647766569692,1
0,4,0.08930935229590975,1
3,12,0.07608344645729057,2
8,10,0.08212196218864275,2
7,13,0.07778397340783955,2
8,13,0.07894055077981293,2
1,5,0.057217305041535084,2
4,12,0.08626537195675273,2
0,13,0.10394713437186927,2
11,13,0.10079639510552106,2
6,12,0.08325182982087662,2
9,13,0.12096465069311339,2
6,10,0.08942708502587049,2
5,12,0.07287603029421814,2
1,3,0.05533361673390848,2
1,12,0.06859182168536214,2
2,12,0.0904436244830042,2
7,12,0.07652827131624525,3
5,13,0.07956502019861884,3
4,13,0.09625994307210203,3
3,13,0.07682391902555626,3
8,12,0.08787597417041361,3
1,13,0.07288343967580496,3
11,12,0.09190829237722516,3
10,13,0.07193880458326851,3
9,12,0.12762054725011687,3
2,13,0.09736193861633284,3
0,6,0.09474971612278224,3
5,6,0.08239128908623775,4
4,6,0.09488060498357238,4
0,11,0.09586241404360003,4
0,9,0.08467627715706189,4
2,6,0.08112366126830994,4
10,12,0.06664362072954971,4
0,8,0.08083813942685977,4
0,7,0.0963059441709627,4
3,6,0.09791982985960607,4
1,6,0.09758280523960723,4
0,10,0.10816666963881476,5
1,11,0.07995710973195855,5
3,9,0.13307587058024084,5
1,9,0.12125436762896843,5
1,8,0.08340965502818985,5
1,7,0.08315108715054094,5
2,7,0.07949150426678075,5
2,8,0.07906417967448216,5
2,9,0.07989498672786478,5
2,11,0.07244293287316214,5
3,7,0.09776578747898144,5
3,8,0.10402513817240139,5
5,11,0.08176626191245252,5
5,7,0.08506529404739728,5
3,11,0.09516934655040615,5
4,7,0.08384985483384085,5
4,8,0.08853386408210308,5
4,9,0.09791089175586246,5
4,11,0.08173581067061783,5
5,8,0.09492748666873572,5
5,9,0.13224696059524965,5
2,10,0.09302284422971711,6
4,10,0.08463253145872436,6
1,10,0.072437500369474,6
3,10,0.07177229459538569,6
5,10,0.07822970961612007,6
